DB12385,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=CC1=C3)C2=O
DB15096,COCC[C@H]1C[C@H]2CN3CCC4=C(NC5=C4C=CC=C5)[C@](C2)([C@H]13)C(=O)OC
DB04581,C(N1C=CN=C1)C1=CC=CC=C1
DB01750,OC(=O)CC1=C2C=CC=CC2=CC=C1
DB04528,OC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O
DB11898,O=C1CSC(=O)N1
DB04638,CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
DB04704,CC(C)CCC[C@@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
DB13921,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1N1C=CC(N)=NC1=O
DB02342,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3
DB11875,C(C1=CNC2=CC=CC=C12)C1=CNC2=CC=CC=C12
DB12629,OC(=O)CCC1=CC(I)=C(OC2=CC=C(O)C=C2)C(I)=C1
DB04594,OC(CC(O)=O)CC(O)=O
DB02024,OC(=O)CCC1=CC=CC=C1
DB04242,OC(=O)C1=CC=C(O)C=C1
DB03410,OC1=CC(=O)OC2=CC=CC=C12
DB01629,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O
DB04604,[H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB03444,O\N=C1\C(\NC2=C\1C=CC=C2)=C1\C(=O)NC2=CC(Br)=CC=C12
DB05230,0
DB00659,CC(=O)NCCCS(O)(=O)=O
DB00284,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
DB01193,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
DB01418,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
DB01614,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
DB00316,CC(=O)NC1=CC=C(O)C=C1
DB00819,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DB00414,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
DB08842,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
DB03128,CC(=O)OCC[N+](C)(C)C
DB06151,CC(=O)N[C@@H](CS)C(O)=O
DB07558,[H]C(=O)[C@H](CCCC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O
DB00459,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
DB11617,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(C(O)=CC=C1)C3=O
DB00787,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
DB00210,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00173,NC1=C2NC=NC2=NC=N1
DB00640,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
DB05874,0
DB08916,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
DB08838,NCCCCNC(N)=N
DB01700,NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB01426,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]44C[C@@H](C2[C@H]4O)N3[C@@H]1O
DB00160,C[C@H](N)C(O)=O
DB00518,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2
DB13648,[H][C@@]12C[C@@]3([H])\C(C[N@+]1(CC=C)CC[C@@]21C2=C(C=CC=C2)N2\C=C4/[C@]5([H])N(\C=C3/[C@@]12[H])C1=C(C=CC=C1)[C@@]51CC[N@@+]2(CC=C)C\C(=C\CO)[C@]4([H])C[C@@]12[H])=C/CO
DB04630,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@H](O)C[C@]12C=O)C(=O)CO
DB00802,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
DB00523,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O
DB11100,NC(=O)NC1NC(=O)NC1=O
DB00437,OC1=NC=NC2=C1C=NN2
DB01431,[H][C@@]12CC[C@@](O)(CC=C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
DB01430,FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1
DB13160,CCC(=O)O[C@]1(CCN(C)C[C@H]1C)C1=CC=CC=C1
DB00404,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
DB00866,CC(C)NCC(O)COC1=CC=CC=C1CC=C
DB00770,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
DB00488,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
DB00915,NC12CC3CC(CC(C3)C1)C2
DB06742,NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1
DB01163,[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1
DB11640,NC1=CC=NC=C1N
DB01143,NCCCNCCSP(O)(O)=O
DB00479,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
DB00594,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
DB11561,NC1=C2C=CC=CC2=NC2=C1C=CC=C2
DB00357,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
DB01223,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
DB08878,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(N)=N1
DB01490,NC1=NCC(O1)C1=CC=CC=C1
DB01118,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
DB06288,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC
DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
DB11118,0
DB01351,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
DB00613,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
DB00543,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
DB01060,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
DB00182,CC(N)CC1=CC=CC=C1
DB00681,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
DB00415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
DB11374,[Cl-].CCCC1=NC=C(C[N+]2=CC=CC=C2C)C(N)=N1
DB01427,NC1=CC(=CNC1=O)C1=CC=NC=C1
DB00276,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
DB01612,CCCCCON=O
DB01217,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
DB05099,0
DB01524,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
DB01536,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB11842,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
DB00362,[H][C@]1(NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O
DB07374,[H][C@]1(O)CN[C@]([H])(CC2=CC=C(OC)C=C2)[C@]1([H])OC(C)=O
DB08799,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1
DB11157,OC1=CC=CC2=C1C(=O)C1=C(O)C=CC=C1C2
DB13110,[Sb]
DB15251,CC(C)[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C=O
DB01435,CN1N(C(=O)C=C1C)C1=CC=CC=C1
DB07352,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O
DB00714,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
DB00673,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
DB01429,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C1=CC=CC=C1
DB04557,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB11217,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
DB04365,COC(=O)C1=CCCN(C)C1
DB00125,N[C@@H](CCCNC(N)=N)C(O)=O
DB01238,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
DB06697,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4
DB09274,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4
DB00174,N[C@@H](CC(N)=O)C(O)=O
